Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Version Booster,Booster landing,Date,Time
1,CCAFS,Dragon Spacecraft Qualification Unit,Dragon Spacecraft Qualification Unit,LEO,SpaceX,"Success
",F9 v1.0B0003.1,Failure,4 June 2010,18:45
2,CCAFS,Dragon,Dragon,LEO,NASA,Success,F9 v1.0B0004.1,Failure,8 December 2010,15:43
3,CCAFS,Dragon,Dragon,LEO,NASA,Success,F9 v1.0B0005.1,"No attempt
",22 May 2012,07:44
4,CCAFS,SpaceX CRS-1,SpaceX CRS-1,LEO,NASA,"Success
",F9 v1.0B0006.1,No attempt,8 October 2012,00:35
5,CCAFS,SpaceX CRS-2,SpaceX CRS-2,LEO,NASA,"Success
",F9 v1.0B0007.1,"No attempt
",1 March 2013,15:10
6,VAFB,CASSIOPE,CASSIOPE,Polar orbit,MDA,Success,F9 v1.1B1003,Uncontrolled,29 September 2013,16:00
7,CCAFS,SES-8,SES-8,GTO,SES,Success,F9 v1.1,No attempt,3 December 2013,22:41
8,CCAFS,Thaicom 6,Thaicom 6,GTO,Thaicom,Success,F9 v1.1,No attempt,6 January 2014,22:06
9,Cape Canaveral,SpaceX CRS-3,SpaceX CRS-3,LEO,NASA,"Success
",F9 v1.1,Controlled,18 April 2014,19:25
10,Cape Canaveral,Orbcomm-OG2,Orbcomm-OG2,LEO,Orbcomm,Success,F9 v1.1,Controlled,14 July 2014,15:15
11,Cape Canaveral,AsiaSat 8,AsiaSat 8,GTO,AsiaSat,Success,F9 v1.1,No attempt,5 August 2014,08:00
12,Cape Canaveral,AsiaSat 6,AsiaSat 6,GTO,AsiaSat,Success,F9 v1.1,"No attempt
",7 September 2014,05:00
13,Cape Canaveral,SpaceX CRS-4,SpaceX CRS-4,LEO,NASA,Success,F9 v1.1,Uncontrolled,21 September 2014,05:52
14,Cape Canaveral,SpaceX CRS-5,SpaceX CRS-5,LEO,NASA,Success,F9 v1.1,Failure ,10 January 2015,09:47
15,Cape Canaveral,DSCOVR,DSCOVR,HEO,USAF,"Success
",F9 v1.1,Controlled,11 February 2015,23:03
16,Cape Canaveral,ABS-3A,ABS-3A,GTO,ABS,"Success
",F9 v1.1,No attempt,2 March 2015,03:50
17,Cape Canaveral,SpaceX CRS-6,SpaceX CRS-6,LEO,NASA,"Success
",F9 v1.1,Failure,14 April 2015,20:10
18,Cape Canaveral,TürkmenÄlem 52°E / MonacoSAT,TürkmenÄlem 52°E / MonacoSAT,GTO,,"Success
",F9 v1.1,No attempt,27 April 2015,23:03
19,Cape Canaveral,SpaceX CRS-7,SpaceX CRS-7,LEO,NASA,Failure,F9 v1.1,Precluded,28 June 2015,14:21
20,Cape Canaveral,Orbcomm-OG2,Orbcomm-OG2,LEO,Orbcomm,"Success
",F9 FT,Success,22 December 2015,01:29
21,VAFB,Jason-3,Jason-3,LEO,NASA,"Success
",F9 v1.1,Failure,17 January 2016,18:42
22,Cape Canaveral,SES-9,SES-9,GTO,SES,"Success
",F9 FT,Failure,4 March 2016,23:35
23,Cape Canaveral,SpaceX CRS-8,SpaceX CRS-8,LEO,NASA,Success,F9 FT,Success,8 April 2016,20:43
24,Cape Canaveral,JCSAT-14,JCSAT-14,GTO,SKY Perfect JSAT Group,"Success
",F9 FT,Success,6 May 2016,05:21
25,Cape Canaveral,Thaicom 8,Thaicom 8,GTO,Thaicom,"Success
",F9 FT,Success,27 May 2016,21:39
26,Cape Canaveral,ABS-2A,ABS-2A,GTO,ABS,"Success
",F9 FT,Failure,15 June 2016,14:29
27,Cape Canaveral,SpaceX CRS-9,SpaceX CRS-9,LEO,NASA,"Success
",F9 FT,Success,18 July 2016,04:45
28,Cape Canaveral,JCSAT-16,JCSAT-16,GTO,SKY Perfect JSAT Group,"Success
",F9 FT,Success,14 August 2016,05:26
29,VAFB,Iridium NEXT,Iridium NEXT,Polar,Iridium Communications,"Success
",F9 FT,Success,14 January 2017,17:54
30,KSC,SpaceX CRS-10,SpaceX CRS-10,LEO,NASA,"Success
",F9 FT,Success,19 February 2017,14:39
31,KSC,EchoStar 23,EchoStar 23,GTO,EchoStar,"Success
",F9 FT,No attempt,16 March 2017,06:00
32,KSC,SES-10,SES-10,GTO,SES,Success,F9 FT♺,Success,30 March 2017,22:27
33,KSC,NROL-76,NROL-76,LEO,NRO,"Success
",F9 FT,Success,1 May 2017,11:15
34,KSC,Inmarsat-5 F4,Inmarsat-5 F4,GTO,Inmarsat,"Success
",F9 FT,No attempt,15 May 2017,23:21
35,KSC,SpaceX CRS-11,SpaceX CRS-11,LEO,NASA,"Success
",F9 FT,Success,3 June 2017,21:07
36,KSC,BulgariaSat-1,BulgariaSat-1,GTO,Bulsatcom,"Success
",F9 FTB1029.2,Success,23 June 2017,19:10
37,VAFB,Iridium NEXT,Iridium NEXT,LEO,Iridium Communications,"Success
",F9 FT,Success,25 June 2017,20:25
38,KSC,Intelsat 35e,Intelsat 35e,GTO,Intelsat,"Success
",F9 FT,No attempt,5 July 2017,23:38
39,KSC,SpaceX CRS-12,SpaceX CRS-12,LEO,NASA,"Success
",F9 B4,Success,14 August 2017,16:31
40,VAFB,Formosat-5,Formosat-5,SSO,NSPO,"Success
",F9 FT,Success,24 August 2017,18:51
41,KSC,Boeing X-37B,Boeing X-37B,LEO,USAF,"Success
",F9 B4,Success,7 September 2017,14:00
42,VAFB,Iridium NEXT,Iridium NEXT,Polar,Iridium Communications,"Success
",F9 B4,Success,9 October 2017,12:37
43,KSC,SES-11,SES-11,GTO,SES S.A.,"Success
",F9 FTB1031.2,Success,11 October 2017,22:53:00
44,KSC,Koreasat 5A,Koreasat 5A,GTO,KT Corporation,"Success
",F9 B4,Success,30 October 2017,19:34
45,Cape Canaveral,SpaceX CRS-13,SpaceX CRS-13,LEO,NASA,"Success
",F9 FTB1035.2,Success,15 December 2017,15:36
46,VAFB,Iridium NEXT,Iridium NEXT,Polar,Iridium Communications,Success,F9 FTB1036.2,Controlled,23 December 2017,01:27
47,CCAFS,Zuma,Zuma,LEO,Northrop Grumman,Success,F9 B4,Success,8 January 2018,01:00
48,CCAFS,GovSat-1,GovSat-1,GTO,SES,Success,F9 FTB1032.2,Controlled,31 January 2018,21:25
49,VAFB,Paz,Paz,SSO,Hisdesat,Success,F9 FTB1038.2,No attempt,22 February 2018,14:17
50,CCAFS,Hispasat 30W-6,Hispasat 30W-6,GTO,Hispasat,Success,F9 B4,No attempt,6 March 2018,05:33
51,VAFB,Iridium NEXT,Iridium NEXT,Polar,Iridium Communications,Success,F9 B4B1041.2,No attempt,30 March 2018,14:14
52,CCAFS,SpaceX CRS-14,SpaceX CRS-14,LEO,NASA,Success,F9 B4B1039.2,No attempt,2 April 2018,20:30
53,CCAFS,Transiting Exoplanet Survey Satellite,Transiting Exoplanet Survey Satellite,HEO,NASA,Success,F9 B4,Success,18 April 2018,22:51
54,KSC,Bangabandhu-1,Bangabandhu-1,GTO,Thales-Alenia,Success,F9 B5B1046.1,Success,11 May 2018,20:14
